PCF ID,Hierarchy ID,Name,<user>,<action>,<outcome>,<context>,User Story  [1],User Story  [2],User Story  [3],Priority,Difference Index,Change details,Metrics available?,Input,Store,Users,Process,Output
10002,1,Develop Vision and Strategy,,,,,,,,,62,c10016,Y,,,,,
17040,1.1,Define the business concept and long-term vision,,,,,,,,,12,c10019,N,,,,,
10017,1.1.1,Assess the external environment,,,,,r/w/e,r,,Medium - Tier 1,3,#ERROR!,Y,,,,,
19945,1.1.1.1,Identify competitors,the venture's  CEO,"identify a table of competitors, including size, position in the market and type of threat",Write a report,1.1.1.Assess the external environment,"As the the venture's  CEO I want the platform to generate me a report that includes table of competitors so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that includes table of competitors to influence strategic planning,,,1,NEW,N,"List of Competitotrs, Websites, Key variables",Corporate 1.1 Private,"C-suite, Invitees, VIPs",Map Competitor business cases compared to own values and to market neeeds,InfoVis competitor landscape report integration including axes and relevance (? Limited value eiren vectors)
10021,1.1.1.2,Analyze and Evaluate competition,the venture's  CEO,"identify a table of competitors, including the SWOT Analyze and Evaluate competition",Write a report,1.1.1.Assess the external environment,"As the the venture's  CEO I want the platform to generate me a report including the SWOT Analyze and Evaluate competition so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that including the SWOT Analyze and Evaluate competition to influence strategic planning,,,0,,N,Pillars of Competitor Value,Corporate 1.1 Private,"C-suite, Invitees, VIPs",FInancial modelling of competitive strategies,Competition report integration
10022,1.1.1.3,Identify economic trends,the venture's  CEO,identify economic trends,Write a report,1.1.1.Assess the external environment,"As the the venture's  CEO I want the platform to generate me a report that identifies economic trends, so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that identifies economic trends to influence strategic planning,,,0,,N,Ecosystem map,Corporate 1.1 Private,"C-suite, Invitees, VIPs",Global competitive demands,Economic trends report integration
10023,1.1.1.4,Identify political and regulatory issues,the venture's  CEO,Identify political and regulatory issues,Write a report,1.1.1.Assess the external environment,"As the the venture's  CEO I want the platform to generate me a report that identifies political and regulatory issues, so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that Identifies political and regulatory issues to influence strategic planning,,,0,,N,"Sovereign Jurisdiction, Legal and licensing frameworks",Corporate 1.1 Private,"C-suite, Invitees, VIPs",Map legal and regulatory requirements to specific outputs (products),Political and regulatory issues definitions and report integration
10024,1.1.1.5,Assess new technology innovations,the venture's  CEO,Assess new technology innovations,Write a report,1.1.1.Assess the external environment,"As the the venture's  CEO I want the platform to generate me a report that includes table of competitors so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that includes table of competitors to influence strategic planning,,,0,,N,Business Canvas,Corporate 1.1 Private,"C-suite, Invitees, VIPs","Identify where new technologies fit into the whole ecosystem and into our ecosystem, and then SWOT analysis",New Technology issues definitions and report integration
10025,1.1.1.6,Analyze demographics,the venture's  CEO,analyses the demographics of the specific market segments ,Write a report,1.1.1.Assess the external environment,"As the venture's  CEO I want the platform to generate me a report that analyses the demographics of the specific market segments so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that analyses the demographics of the specific market segments to influence strategic planning,,,0,,N,"Local, Regional, National, Global Demographics by Variables",Corporate 1.1 Private,"C-suite, Invitees, VIPs",Anaylses map of demands and relevance (?LVEV) for ranking,Demographics issues definitions and report integration
10026,1.1.1.7,Identify social and cultural changes,the venture's  CEO,Identify social and cultural changes,Write a report,1.1.1.Assess the external environment,"As the venture's  CEO I want the platform to generate me a report that includes table of competitors so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that Identifies social and cultural changes to influence strategic planning,,,0,,N,"Generation, Gender, CUltural Jurisdiction, Religious constraints ",Corporate 1.1 Private,"C-suite, Invitees, VIPs",Identify Cultural blocks to progress and support for cultural transition,Social & Cultural issues definitions and report integration
10027,1.1.1.8,Identify ecological concerns,the venture's  CEO,identify ecological concerns,Write a report,1.1.1.Assess the external environment,"As the venture's  CEO I want the platform to generate me a report that identifies ecological concerns so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that identifies ecological concerns to influence strategic planning,,,0,,N,IRIS,Corporate 1.1 Private,"C-suite, Invitees, VIPs",Identify ecological blocks to progress and ecological support,Ecological and regulatory issues definitions and report integration
